order;Type;IS;PL;EL;area
94;Solifluction;0.10394493498082;0.113692545614743;0.782362519404436;
95;Solifluction;0.0815883061710709;0.160364542438923;0.758047151390006;
96;Solifluction;0.0639898249248762;0.175224207972016;0.760785967103108;
97;Solifluction;0.0568990187258619;0.203122624638423;0.739978356635715;
98;Solifluction;0.0638136853952599;0.250438871561581;0.685747443043159;
99;Solifluction;0.0637184748387106;0.291095446474859;0.64518607868643;
100;Solifluction;0.0860036957310481;0.274915880835638;0.639080423433314;
101;Solifluction;0.0951724723267523;0.35968771668693;0.545139810986317;
102;Solifluction;0.135146624494006;0.290024739347002;0.574828636158992;
103;Solifluction;0.159797827716595;0.263529287112813;0.576672885170591;
104;Solifluction;0.157541337526375;0.227090112557511;0.615368549916114;
105;Solifluction;0.165761578952456;0.216903075982339;0.617335345065205;
106;Solifluction;0.137657802922996;0.217707576009285;0.644634621067719;
107;Solifluction;0.172852385151471;0.189004659315931;0.638142955532598;
108;Solifluction;0.228056655970753;0.11581431741071;0.656129026618536;
110;Solifluction;0.218745063540225;0.092027343929336;0.689227592530439;
111;Solifluction;0.159061136035295;0.0781095355043048;0.762829328460401;
112;Solifluction;0.12256335931405;0.163299321323156;0.714137319362794;
113;Solifluction;0.140152319504589;0.152505313281391;0.70734236721402;
145;Rockfall;0.602996987778554;0.297047654390442;0.0999553578310047;6
147;Rockfall;0.490240681505499;0.444908275785636;0.0648510427088648;6
148;Rockfall;0.394101094051632;0.508396463039311;0.0975024429090569;6
122;Rockfall;0.154345579660505;0.6745294008151;0.171125019524395;6
114;Rockfall;0.061766717667892;0.495710286320978;0.44252299601113;6
115;Rockfall;0.0629536261549768;0.4077459354259;0.529300438419124;6
116;Rockfall;0.194700468221388;0.220581151982326;0.584718379796286;
117;Rockfall;0.193513559734303;0.189309926270602;0.617176513995095;6
118;Rockfall;0.144850311763827;0.384271771951782;0.470877916284391;
119;Rockfall;0.117551416560877;0.473985294285182;0.408463289153941;
120;Rockfall;0.106869240177114;0.549223099798293;0.343907660024594;
121;Rockfall;0.122299050509216;0.533285051417979;0.344415898072805;
